"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2021","11,392.83","11,310.09","11,392.83","11,270.85","167.30M","0.63%"
"08/16/2021","11,321.85","11,341.49","11,384.89","11,312.08","171.47M","-0.26%"
"08/15/2021","11,351.63","11,314.71","11,354.22","11,295.43","165.02M","0.25%"
"08/12/2021","11,323.70","11,326.86","11,391.58","11,270.50","220.67M","-0.01%"
"08/11/2021","11,325.10","11,299.41","11,348.66","11,292.19","206.42M","0.22%"
"08/10/2021","11,299.87","11,200.80","11,299.87","11,198.33","189.87M","0.91%"
"08/09/2021","11,197.97","11,215.37","11,225.30","11,174.61","225.56M","-0.15%"
"08/08/2021","11,215.33","11,202.59","11,235.41","11,191.77","205.47M","0.05%"
"08/05/2021","11,209.42","11,155.34","11,209.42","11,066.77","213.78M","0.42%"
"08/04/2021","11,162.38","11,206.21","11,210.54","11,128.71","207.79M","-0.41%"
"08/03/2021","11,208.76","11,151.66","11,208.76","11,123.50","247.57M","0.46%"
"08/02/2021","11,157.02","11,091.66","11,157.02","11,091.66","265.06M","0.81%"
"08/01/2021","11,066.93","11,041.85","11,100.03","11,033.71","252.17M","0.49%"
"07/29/2021","11,012.71","10,939.51","11,012.71","10,921.11","208.60M","0.72%"
"07/28/2021","10,933.73","10,911.05","10,948.81","10,905.02","205.67M","0.16%"
"07/27/2021","10,916.67","10,899.75","10,927.70","10,887.34","223.38M","0.17%"
"07/26/2021","10,897.87","10,920.55","10,923.11","10,841.99","223.77M","0.20%"
"07/25/2021","10,876.36","10,867.22","10,955.97","10,867.22","216.68M","0.76%"
"07/15/2021","10,794.51","10,792.03","10,873.82","10,782.74","236.23M","0.15%"
"07/14/2021","10,778.07","10,734.27","10,802.04","10,721.09","199.00M","0.39%"
"07/13/2021","10,735.85","10,707.60","10,767.84","10,690.68","192.04M","0.35%"
"07/12/2021","10,698.54","10,670.05","10,766.35","10,589.38","245.17M","0.10%"
"07/11/2021","10,688.34","10,871.24","10,883.32","10,659.12","248.87M","-1.26%"
